Date,trade_int,lead_id,asset_id,must_take_eng,max_eng,eco_max,eco_min,cold_price,inter_price,hot_price,no_load_price,seg1_price,seg1_mw,seg2_price,seg2_mw,seg3_price,seg3_mw,seg4_price,seg4_mw,seg5_price,seg5_mw,seg6_price,seg6_mw,seg7_price,seg7_mw,seg8_price,seg8_mw,seg9_price,seg9_mw,seg10_price,seg10_mw,claim10,claim30,int_start,int_end,_ts,date,hour,market_type,source_file
2025-06-25,1,591975,64475,0,0.0,244.0,150.0,16014.97,10922.9,10259.07,3099.97,30.22,150.0,48.98,1.0,49.43,12.0,50.27,12.0,51.11,12.0,51.95,12.0,53.49,32.0,54.64,1.0,69.94,8.0,261.84,4.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,591975,67172,0,0.0,238.0,150.0,17574.81,12083.81,12041.89,3463.41,29.58,150.0,52.07,1.0,52.85,11.0,54.27,11.0,55.7,11.0,58.42,31.0,60.55,2.0,81.69,6.0,121.45,14.0,121.46,1.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,423302,73029,0,0.0,23.0,11.5,0.0,0.0,0.0,0.0,400.0,20.3,400.0,2.6999999999999997,,,,,,,,,,,,,,,,,19.0,19.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,101197,76204,0,0.0,45.0,38.0,1944.97,1944.97,1944.97,594.33,100.75,43.0,100.75,2.0,,,,,,,,,,,,,,,,,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,399648,77213,24,0.0,25.0,24.0,0.0,0.0,0.0,0.0,-150.0,13.0,-149.99,10.0,-149.98,1.0,-149.97000000000008,0.1428571428571428,-149.9600000000001,0.1428571428571428,-149.9500000000001,0.1428571428571428,-149.9400000000001,0.1428571428571428,-149.9300000000001,0.1428571428571428,-149.9200000000001,0.1428571428571428,-149.9100000000001,0.1428571428571428,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,958512,77459,363,14880.0,605.2,362.8,26592.52,24145.29,11553.47,11820.54,23.05,0.0,33.83,171.0,38.89,80.3,43.9,0.1,46.4,39.7,46.41,0.1,46.42,64.8,55.62,160.5,75.68,0.1,75.69,79.4,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,741580,78823,0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1000.0,0.1,1000.0,1.4,999.999999999999,0.0125,999.9999999999986,0.0125,999.9999999999984,0.0125,999.999999999998,0.0125,999.9999999999976,0.0125,999.9999999999972,0.0125,999.9999999999968,0.0125,999.9999999999966,0.0125,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,591975,79527,0,0.0,249.0,160.0,13104.01,9286.57,8438.24,3743.57,29.48,160.0,53.28,1.0,54.18,13.0,55.85,13.0,57.51,13.0,59.18,13.0,60.78,12.0,77.5,5.0,116.92,15.0,280.61,4.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,172669,81315,0,564.0,24.1,14.0,868.46,868.46,868.46,1445.0,371.66,24.0,371.66,0.1000000000000014,,,,,,,,,,,,,,,,,22.0,22.6,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,101197,84614,0,0.0,44.0,38.0,1226.23,1226.23,1226.23,594.33,67.04,42.0,67.04,2.0,,,,,,,,,,,,,,,,,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
